number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,average price,special requests,booking status
1,0,0,3,Meal Plan 1,0,Room_Type 1,26,Corporate,77,0,Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 4,66,Online,119.16,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,22,Corporate,62,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,119,Online,90.9,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,240,Online,95.63,1,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,96,Offline,78.2,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,31,Corporate,90,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,88,Online,54.63,0,Not_Canceled
1,0,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,90,0,Not_Canceled
2,1,2,4,Meal Plan 1,0,Room_Type 1,47,Online,129.99,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,140,Online,112.5,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,33,Online,80.3,1,Not_Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,45,Online,86.4,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,36,Online,168.73,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,44,Offline,87.2,0,Not_Canceled
2,0,2,7,Meal Plan 1,0,Room_Type 4,18,Online,141.56,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,95,0,Not_Canceled
1,0,0,2,Not Selected,0,Room_Type 1,83,Online,83.59,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,95,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,141,Offline,90,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,133,Offline,74.67,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,46,Online,73.9,0,Canceled
1,0,0,1,Not Selected,0,Room_Type 1,33,Online,125.1,1,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,96,Online,99.45,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,268,Online,95.4,0,Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,68,Online,131.4,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 5,3,Corporate,159,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,Online,79,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,279,Offline,80.75,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,15,Offline,85,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,159,Offline,70,0,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,7,Offline,72.25,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,54,Online,126.9,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,172,Offline,95,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,117,Offline,110,1,Not_Canceled
1,0,1,5,Meal Plan 1,0,Room_Type 1,349,Offline,80,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,8,Online,95,0,Not_Canceled
1,0,2,2,Meal Plan 1,1,Room_Type 1,31,Corporate,67,0,Not_Canceled
1,0,0,2,Meal Plan 1,1,Room_Type 1,0,Corporate,65,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,106,Online,90.23,2,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,21,Online,105,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,9,Online,139,1,Not_Canceled
